job_title,company_name,time_posted,link
AI/ML Engineers,Jade Global,1 week ago,https://in.linkedin.com/jobs/view/ai-ml-engineers-at-jade-global-3993516795?trk=public_jobs_topcard-title
Sr Data Scientist (Predictive Maintenance),Fusemachines,4 weeks ago,https://in.linkedin.com/jobs/view/sr-data-scientist-predictive-maintenance-at-fusemachines-3977566535?trk=public_jobs_topcard-title
Data Scientist,SLB,3 weeks ago,https://in.linkedin.com/jobs/view/data-scientist-at-slb-3977738101?trk=public_jobs_topcard-title
"ML Engineers_ Bangalore, Noida, Pune, Nagpur_ Deepanshi",CodersBrain,7 months ago,https://in.linkedin.com/jobs/view/ml-engineers-bangalore-noida-pune-nagpur-deepanshi-at-codersbrain-3795296545?trk=public_jobs_topcard-title
Data Scientist,EPAM Systems,6 days ago,https://in.linkedin.com/jobs/view/data-scientist-at-epam-systems-3958017450?trk=public_jobs_topcard-title
Data Scientist (Computer Vision),Arkose Labs,2 weeks ago,https://in.linkedin.com/jobs/view/data-scientist-computer-vision-at-arkose-labs-3984818065?trk=public_jobs_topcard-title
Machine Learning Developer,Setoo,1 month ago,https://in.linkedin.com/jobs/view/machine-learning-developer-at-setoo-3973925955?trk=public_jobs_topcard-title
Artificial Intelligence Specialist,Searce Inc,1 week ago,https://in.linkedin.com/jobs/view/artificial-intelligence-specialist-at-searce-inc-3992427077?trk=public_jobs_topcard-title
Data Scientist,LTIMindtree,4 weeks ago,https://in.linkedin.com/jobs/view/data-scientist-at-ltimindtree-3815661772?trk=public_jobs_topcard-title
